Review_ID,Customer_ID,Service_Type,Rating,Sentiment_Label,Review_Text
R100000,C50000,Customer Support,1,Negative,Unfriendly staff and long hold times.
R100001,C50001,Policy Purchase,5,Positive,Quick claim settlement. Totally impressed!
R100002,C50002,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100003,C50003,Policy Purchase,5,Positive,The policy purchase was seamless and easy to understand.
R100004,C50004,Customer Support,2,Negative,Very poor service. No response for days.
R100005,C50005,Claim,1,Negative,The policy terms were misleading and confusing.
R100006,C50006,Claim,3,Neutral,Neither satisfied nor dissatisfied.
R100007,C50007,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100008,C50008,Customer Support,3,Neutral,Communication was average.
R100009,C50009,Customer Support,5,Positive,The policy purchase was seamless and easy to understand.
R100010,C50010,Policy Purchase,5,Positive,Exceptional support and very friendly team.
R100011,C50011,Customer Support,1,Negative,The policy terms were misleading and confusing.
R100012,C50012,Policy Purchase,4,Positive,Quick claim settlement. Totally impressed!
R100013,C50013,Policy Purchase,4,Positive,Quick claim settlement. Totally impressed!
R100014,C50014,Customer Support,2,Negative,Very poor service. No response for days.
R100015,C50015,Claim,5,Positive,Exceptional support and very friendly team.
R100016,C50016,Claim,2,Negative,I had a frustrating experience with customer care.
R100017,C50017,Customer Support,1,Negative,I had a frustrating experience with customer care.
R100018,C50018,Customer Support,5,Positive,Exceptional support and very friendly team.
R100019,C50019,Claim,1,Negative,Unfriendly staff and long hold times.
R100020,C50020,Policy Purchase,3,Neutral,"Service was okay, nothing special."
R100021,C50021,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100022,C50022,Claim,3,Neutral,Neither satisfied nor dissatisfied.
R100023,C50023,Customer Support,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100024,C50024,Claim,5,Positive,The policy purchase was seamless and easy to understand.
R100025,C50025,Policy Purchase,4,Positive,I'm happy with the insurance product and services.
R100026,C50026,Claim,3,Neutral,Communication was average.
R100027,C50027,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100028,C50028,Customer Support,4,Positive,Customer support was helpful and knowledgeable.
R100029,C50029,Customer Support,3,Neutral,"Not bad, but could be more responsive."
R100030,C50030,Claim,3,Neutral,"Not bad, but could be more responsive."
R100031,C50031,Policy Purchase,1,Negative,Unfriendly staff and long hold times.
R100032,C50032,Customer Support,4,Positive,Exceptional support and very friendly team.
R100033,C50033,Customer Support,1,Negative,I had a frustrating experience with customer care.
R100034,C50034,Policy Purchase,1,Negative,I had a frustrating experience with customer care.
R100035,C50035,Customer Support,3,Neutral,Communication was average.
R100036,C50036,Policy Purchase,5,Positive,Exceptional support and very friendly team.
R100037,C50037,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100038,C50038,Customer Support,3,Neutral,Communication was average.
R100039,C50039,Customer Support,3,Neutral,"It worked as expected, no major issues."
R100040,C50040,Claim,4,Positive,Quick claim settlement. Totally impressed!
R100041,C50041,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
R100042,C50042,Policy Purchase,3,Neutral,Communication was average.
R100043,C50043,Policy Purchase,1,Negative,Very poor service. No response for days.
R100044,C50044,Policy Purchase,4,Positive,Exceptional support and very friendly team.
R100045,C50045,Customer Support,1,Negative,Unfriendly staff and long hold times.
R100046,C50046,Claim,1,Negative,Very poor service. No response for days.
R100047,C50047,Customer Support,2,Negative,Claim rejected for unclear reasons. Disappointed.
R100048,C50048,Customer Support,4,Positive,Quick claim settlement. Totally impressed!
R100049,C50049,Claim,1,Negative,I had a frustrating experience with customer care.
R100050,C50050,Policy Purchase,1,Negative,I had a frustrating experience with customer care.
R100051,C50051,Policy Purchase,5,Positive,Customer support was helpful and knowledgeable.
