Customer_ID,Age,Gender,Location,Income Level,Number of Active Policies,Total Premium Paid,Claim Frequency,Policy Upgrades,Occupation,Coverage Amount,Policy Type
CUST10000,49,Male,Rural,Low,1,13610.0,1,2,Self-Employed,537000.0,Life
CUST10001,28,Male,Urban,Medium,1,36205.58,1,0,Salaried,933000.0,Auto
CUST10002,41,Male,Suburban,Medium,3,3268.89,1,0,Self-Employed,467000.0,Life
CUST10003,20,Male,Suburban,Low,2,29083.67,0,0,Retired,142000.0,Auto
CUST10004,47,Male,Urban,Medium,1,34498.55,0,1,Salaried,693000.0,Health
CUST10005,23,Female,Urban,Medium,2,29631.92,1,2,Self-Employed,164000.0,Life
CUST10006,19,Female,Rural,Low,0,29949.38,0,0,Business Owner,528000.0,Health
CUST10007,31,Female,Suburban,Low,0,23795.39,2,2,Salaried,303000.0,Auto
CUST10008,58,Female,Suburban,Low,5,13265.58,0,2,Self-Employed,98000.0,Auto
CUST10009,35,Male,Suburban,High,3,31299.35,1,1,Self-Employed,548000.0,Auto
CUST10010,68,Female,Suburban,Medium,3,18367.57,1,1,Salaried,639000.0,Auto
CUST10011,61,Female,Urban,High,4,24865.71,1,1,Retired,431000.0,Health
CUST10012,48,Female,Suburban,Medium,3,11129.16,2,2,Self-Employed,475000.0,Property
CUST10013,30,Male,Urban,High,1,21536.52,0,1,Self-Employed,168000.0,Auto
CUST10014,43,Male,Urban,Low,4,29847.83,0,0,Salaried,413000.0,Health
CUST10015,61,Male,Rural,Low,1,17604.77,2,1,Student,337000.0,Life
CUST10016,29,Male,Rural,Medium,1,15654.46,0,1,Business Owner,668000.0,Health
CUST10017,35,Male,Suburban,Low,1,36639.31,0,1,Salaried,494000.0,Life
CUST10018,26,Female,Urban,Medium,0,25993.25,2,1,Retired,801000.0,Life
CUST10019,66,Male,Urban,Medium,6,26096.54,1,1,Self-Employed,633000.0,Life
CUST10020,38,Female,Urban,Low,1,41524.2,1,2,Self-Employed,392000.0,Auto
CUST10021,65,Female,Suburban,Medium,0,22710.65,2,2,Salaried,597000.0,Property
CUST10022,66,Female,Rural,High,2,26866.68,0,1,Self-Employed,217000.0,Auto
CUST10023,70,Male,Rural,Medium,2,30786.55,1,0,Self-Employed,219000.0,Health
CUST10024,73,Female,Suburban,Medium,3,40189.98,0,3,Self-Employed,507000.0,Health
CUST10025,57,Female,Rural,Medium,2,10412.18,1,1,Salaried,640000.0,Health
CUST10026,60,Male,Rural,High,2,26571.92,1,2,Salaried,582000.0,Auto
CUST10027,41,Female,Urban,High,4,22189.64,2,1,Self-Employed,569000.0,Health
CUST10028,51,Male,Suburban,Low,2,36001.47,3,0,Salaried,388000.0,Property
CUST10029,25,Male,Urban,Low,4,28919.85,0,2,Salaried,589000.0,Life
CUST10030,61,Male,Urban,Low,0,36903.38,0,0,Salaried,609000.0,Health
CUST10031,70,Female,Urban,High,0,34065.22,2,0,Self-Employed,512000.0,Auto
CUST10032,50,Female,Suburban,Medium,2,8533.07,3,0,Retired,365000.0,Health
CUST10033,40,Female,Suburban,Medium,0,16375.51,2,1,Salaried,628000.0,Health
